,cpi_inflation_yoy,export_revenue_usd_m
2015-01-31,13.241572407990699,1467.584387173697
2015-02-28,13.519817993027841,1522.3685476024687
2015-03-31,12.328856200855014,1428.3095308329944
2015-04-30,14.464651331109213,1390.1538117126204
2015-05-31,14.813302529781533,1421.3285134146706
2015-06-30,13.945139914148502,1391.3749489272368
2015-07-31,14.767399554897093,1334.1731638780486
2015-08-31,16.651036032010673,1388.2211313798023
2015-09-30,17.97896349023838,1444.219756526735
2015-10-31,14.621871345455876,1503.0419694505483
2015-11-30,19.2086966634713,1443.1547778553422
2015-12-31,19.055633835769655,1483.8706453455134
2016-01-31,18.286745121373098,1552.6915312424285
2016-02-29,18.117260649160425,1539.2744225695212
2016-03-31,19.200288017526145,1494.7548131762992
2016-04-30,18.254405572767133,1317.9555386669022
2016-05-31,19.065349279592986,1307.164597537972
2016-06-30,17.726930416946672,1272.374714064495
2016-07-31,17.587281115251443,1287.6574908865143
2016-08-31,22.616870259307994,1286.7703490179053
2016-09-30,19.994914873066936,1206.5599116818742
2016-10-31,20.224386718035277,1136.4181932146266
2016-11-30,19.963119049333898,1090.2399109018254
2016-12-31,18.985909118477384,1190.5775617590155
2017-01-31,19.54930985916265,1260.3512887481513
2017-02-28,19.925377586142176,1179.1236136247292
2017-03-31,19.438291632768365,1196.5829639318147
2017-04-30,18.59078297414956,1191.8786000624698
2017-05-31,19.84976596647431,1226.9642249160813
2017-06-30,19.244271808538308,1206.9890480465756
2017-07-31,19.197786172454435,1174.5445518132385
2017-08-31,19.246110036235997,1088.6428731994124
2017-09-30,17.836547515095344,1249.8803549273596
2017-10-31,17.448821404457895,1286.3602791218198
2017-11-30,19.01191887075523,1180.5996432987265
2017-12-31,15.654958902140708,1178.2227543765928
2018-01-31,14.06980336133591,1206.9316070594616
2018-02-28,16.493170137545523,1228.06019250278
2018-03-31,14.560151036239638,1306.1727090158406
2018-04-30,13.494489488016105,1210.8229887889022
2018-05-31,15.30732081662576,1188.1155601236885
2018-06-30,13.517588302926672,1227.9263501028381
2018-07-31,11.612683195320725,1225.935193969131
2018-08-31,14.882787556565983,1145.6575736799248
2018-09-30,10.057060571280104,1122.495792341705
2018-10-31,11.314953482409141,1169.5091180166598
2018-11-30,8.583882079128829,1140.8601835721388
2018-12-31,10.613710425708062,1129.5199049364403
2019-01-31,8.96622272708945,1136.7140709078928
2019-02-28,10.176863956878284,1064.610759974071
2019-03-31,8.64536312240395,1118.789915367421
2019-04-30,9.776450544771606,1138.3835629973607
2019-05-31,7.149164262640049,1123.209545485283
2019-06-30,5.27057634767809,1095.5395431158008
2019-07-31,7.03675708423349,1078.7650931256849
2019-08-31,6.031142554674129,1152.7539842323083
