stress_definition,pair,a,b,tail,q,n_calm,n_stress,B,block,seed,lambda_calm,lambda_stress,difference,diff_lo_95,diff_hi_95,p_value
combined,Cocoa–WTI,cocoa,wti,upper,0.025,2451,322,15000,20,823290787,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.199487596646,0.264515698953
combined,Cocoa–WTI,cocoa,wti,lower,0.05,2451,322,15000,20,653914998,0.146878824969,0.124223602484,-0.0226552224849,-0.171358629131,0.171840115962,0.8099460036
combined,Cocoa–WTI,cocoa,wti,upper,0.05,2451,322,15000,20,3239361907,0.0489596083231,0.0621118012422,0.0131521929191,-0.0815993472052,0.153695664845,0.819678688087
combined,Cocoa–WTI,cocoa,wti,lower,0.1,2451,322,15000,20,1577420942,0.16319869441,0.0931677018634,-0.0700309925471,-0.172942467392,0.0460326752169,0.215052329845
combined,Cocoa–WTI,cocoa,wti,upper,0.1,2451,322,15000,20,1349617947,0.130558955528,0.0931677018634,-0.037391253665,-0.146878824969,0.0263043858382,0.519632024532
combined,Gold–Brent,gold,brent,lower,0.025,2451,322,15000,20,1978993587,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.166847857764,0.21545230318
combined,Gold–Brent,gold,brent,upper,0.025,2451,322,15000,20,1567836215,0.0815993472052,0,-0.0815993472052,-0.146878824969,-0.016319869441,0.0301979868009
combined,Gold–Brent,gold,brent,lower,0.05,2451,322,15000,20,3930697456,0.0815993472052,0.124223602484,0.0426242552792,-0.0979192166463,0.261599397888,0.671821878541
combined,Gold–Brent,gold,brent,upper,0.05,2451,322,15000,20,3052238622,0.0815993472052,0,-0.0815993472052,-0.138718890249,0.0720963176394,0.0727951469902
combined,Gold–Brent,gold,brent,lower,0.1,2451,322,15000,20,4238083984,0.183598531212,0.186335403727,0.00273687251496,-0.145966534131,0.14328034444,0.968268782081
combined,Gold–Brent,gold,brent,upper,0.1,2451,322,15000,20,424575139,0.179518563851,0.0621118012422,-0.117406762609,-0.179518563851,0.0435365461176,0.0912605826278
combined,Gold–Cedi,gold,cedi,lower,0.025,2451,322,15000,20,2597578389,0.0326397388821,0,-0.0326397388821,-0.0815993472052,0,0.266515565629
combined,Gold–Cedi,gold,cedi,upper,0.025,2451,322,15000,20,2304888803,0.016319869441,0,-0.016319869441,-0.0652794777642,0,0.664489034064
combined,Gold–Cedi,gold,cedi,lower,0.05,2451,322,15000,20,95666944,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.016319869441,0.0169988667422
combined,Gold–Cedi,gold,cedi,upper,0.05,2451,322,15000,20,3633396505,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.00815993472052,0.0408639424038
combined,Gold–Cedi,gold,cedi,lower,0.1,2451,322,15000,20,3881857813,0.0815993472052,0.0310559006211,-0.0505434465841,-0.110159118727,0.0426242552792,0.182521165256
combined,Gold–Cedi,gold,cedi,upper,0.1,2451,322,15000,20,2631720198,0.114239086087,0.124223602484,0.00998451639716,-0.130558955528,0.0843362197202,0.904873008466
combined,Gold–WTI,gold,wti,lower,0.025,2451,322,15000,20,784895044,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.215807466087,0.267248850077
combined,Gold–WTI,gold,wti,upper,0.025,2451,322,15000,20,3019973063,0.114239086087,0,-0.114239086087,-0.195838433293,-0.0326397388821,0.00619958669422
combined,Gold–WTI,gold,wti,lower,0.05,2451,322,15000,20,1219826841,0.0979192166463,0.124223602484,0.0263043858382,-0.106079151367,0.253439463168,0.768548763416
combined,Gold–WTI,gold,wti,upper,0.05,2451,322,15000,20,4220265851,0.122399020808,0,-0.122399020808,-0.187678498572,0.0639363829189,0.0677288180788
combined,Gold–WTI,gold,wti,lower,0.1,2451,322,15000,20,2285180356,0.15503875969,0.217391304348,0.0623525446579,-0.0700309925471,0.192239952764,0.353043130458
combined,Gold–WTI,gold,wti,upper,0.1,2451,322,15000,20,1856017714,0.191758465932,0.217391304348,0.0256328384156,-0.12964666469,0.14577647354,0.73875074995
combined,WTI–Cedi,wti,cedi,lower,0.025,2451,322,15000,20,2592775036,0,0.124223602484,0.124223602484,0,0.372670807453,0.658356109593
combined,WTI–Cedi,wti,cedi,upper,0.025,2451,322,15000,20,466984265,0.016319869441,0.124223602484,0.107903733043,-0.0652794777642,0.372670807453,0.58389440704
combined,WTI–Cedi,wti,cedi,lower,0.05,2451,322,15000,20,1649401768,0.0489596083231,0.124223602484,0.0752639941613,-0.0652794777642,0.253439463168,0.362709152723
combined,WTI–Cedi,wti,cedi,upper,0.05,2451,322,15000,20,943427682,0.0652794777642,0.0621118012422,-0.00316767652194,-0.0979192166463,0.150527988323,0.94680354643
combined,WTI–Cedi,wti,cedi,lower,0.1,2451,322,15000,20,3453115924,0.0897592819257,0.0931677018634,0.00340841993761,-0.0897592819257,0.123552055062,0.962335844277
combined,WTI–Cedi,wti,cedi,upper,0.1,2451,322,15000,20,4061704694,0.126478988168,0.0931677018634,-0.0333112863047,-0.130558955528,0.0843362197202,0.552029864676
